性別,年齡,悲傷- 患者反應1,悲傷- 患者反應2,悲傷- 患者反應3,悲傷- 這是由特別事件引起的嗎？,悲傷- 這是由最近或遙遠的事件（或多個事件）引起的嗎？,悲傷- 您最近是否嘗試過協議6，並發現由於舊事件而重新點燃了無法控制的情緒？,悲傷- 您最近是否嘗試過協議11，並發現由於舊事件而重新點燃了無法控制的情緒？,悲傷- 謝謝。現在我會問一些問題以了解您的情況。,悲傷- 您是否對某人有強烈的感受或表達以下任何情緒：,悲傷- 您認為您應該成為別人的救星嗎？,悲傷- 您是否將自己視為受害者，將自己的負面情緒歸咎於他人？,悲傷- 您覺得您在試圖控制某人嗎？,悲傷- 當出現問題時，您是否總是責怪和指責自己？,悲傷- 在之前的對話中，您是否考慮過其他提出的觀點？,悲傷- 您是否正在經歷個人危機（與親人相處有困難，例如與朋友鬧翻）？,憤怒- 患者反應1,憤怒- 患者反應2,憤怒- 患者反應3,憤怒- 這是由特別事件引起的嗎？,憤怒- 這是由最近或遙遠的事件（或多個事件）引起的嗎？,憤怒- 您最近是否嘗試過協議6，並發現由於舊事件而重新點燃了無法控制的情緒？,憤怒- 您最近是否嘗試過協議11，並發現由於舊事件而重新點燃了無法控制的情緒？,憤怒- 謝謝。現在我會問一些問題以了解您的情況。,憤怒- 您是否對某人有強烈的感受或表達以下任何情緒：,憤怒- 您認為您應該成為別人的救星嗎？,憤怒- 您是否將自己視為受害者，將自己的負面情緒歸咎於他人？,憤怒- 您覺得您在試圖控制某人嗎？,憤怒- 當出現問題時，您是否總是責怪和指責自己？,憤怒- 在之前的對話中，您是否考慮過其他提出的觀點？,憤怒- 您是否正在經歷個人危機（與親人相處有困難，例如與朋友鬧翻）？,焦慮- 患者反應1,焦慮- 患者反應2,焦慮- 患者反應3,焦慮- 這是由特別事件引起的嗎？,焦慮- 這是由最近或遙遠的事件（或多個事件）引起的嗎？,焦慮- 您最近是否嘗試過協議6，並發現由於舊事件而重新點燃了無法控制的情緒？,焦慮- 您最近是否嘗試過協議11，並發現由於舊事件而重新點燃了無法控制的情緒？,焦慮- 謝謝。現在我會問一些問題以了解您的情況。,焦慮- 您是否對某人有強烈的感受或表達以下任何情緒：,焦慮- 您認為您應該成為別人的救星嗎？,焦慮- 您是否將自己視為受害者，將自己的負面情緒歸咎於他人？,焦慮- 您覺得您在試圖控制某人嗎？,焦慮- 當出現問題時，您是否總是責怪和指責自己？,焦慮- 在之前的對話中，您是否考慮過其他提出的觀點？,焦慮- 您是否正在經歷個人危機（與親人相處有困難，例如與朋友鬧翻）？,快樂- 患者反應1,快樂- 患者反應2,快樂- 患者反應3,快樂- 那很好！讓我推荐一個您可以嘗試的協議。,所有情緒- 根據您所說的，我相信您正在感受{}。這個對嗎？,所有情緒- 我很抱歉。請從下面的情緒中選擇最能反映您感受的情緒：,所有情緒- 感謝您的參與。再見,所有情緒- 這是我的建議，請選擇您想嘗試的協議,所有情緒- 請現在嘗試通過此協議。完成後，按“繼續”,所有情緒- 採取此協議後，您感覺更好還是更糟？,所有情緒- 您想嘗試另一種協議嗎？ （病人感覺好多了）,所有情緒- 您想嘗試另一種協議嗎？ （病人感覺更糟）
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
男性,30-39,我有點沮喪,我心情很低落,此刻我感到相當難過,我很遺憾聽到你感覺不舒服。有什麼特別的事情讓你有這種感覺嗎？,我可以認同這一點。現在，這些感覺是最近還是很久以前發生的事件的結果？,首先，您的感受對我很重要，所以我需要詢問您之前與協議的互動情況。你最近有沒有嘗試過協議6，如果是這樣，它是否會因為你想起這件事而引發困難的情緒？,首先，您的感受對我很重要，所以我需要詢問您之前與協議的互動情況。你最近有沒有嘗試過協議11，如果是這樣，它是否會激發你記住這一事件的困難情緒？,感謝您如此樂於助人和耐心。如果您不介意，我還有幾個問題可以幫助我進一步了解情況。,我知道這可能很困難，但如果您能與我分享這一點，我會非常感激。請問您是否對某人表達或感受到了以下強烈的情緒：,,,,,,,我對我朋友的行為感到非常惱火,我開始想到我的對象離開我的時候，我很生氣,我有這種感覺是他們的錯。,如果你能告訴我更多，我可以更好地幫助你。是否有特定事件讓您有這種感覺？,你能告訴我這些特殊的感覺是由最近還是很久以前發生的事件引起的嗎？,如果你能和我分享以下信息，那對我會有很大幫助。您最近是否嘗試過協議6，如果是這樣，是否讓您感到難以管理情緒？,如果你能和我分享以下信息，那對我會有很大幫助。您最近有沒有嘗試過協議11，如果是這樣，它是否讓你感到難以管理情緒？,非常感謝您的合作。我接下來還有幾個問題可以幫助我更好地了解您的情況。,如果可以的話請你告訴我更多關於你的感受。您是否曾對另一個人表達過或向外表達過以下任何一種情緒：,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
女性,50-59,我今天感覺不太好。我的狗不舒服。,我覺得有點難過。我擔心失去工作。,我很沮喪。我和姐姐意見不合。,有沒有發生什麼特別讓你感到難過的事情？不介意的話請告訴我。,,有些人發現協議6 不一定對他們有幫助，所以我試圖評估它是否適合您當前的情況。您是否嘗試過協議6，它是否讓您感到任何負面情緒？,有些人發現協議11 不一定對他們有幫助，所以我試圖評估它是否適合您當前的情況。您是否嘗試過協議11，它是否讓您感到任何負面情緒？,謝謝你與我分享。我要問你一些問題，這樣我們才能找出困擾你的根源。,您是否對他人有或表達過以下任何強烈情緒：,,,,,,,我很生氣,我心情不好,我的心情不好,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
男性,30-39,不太好，我的狗昨天死了。,不是很好，只是整個星期都感到沮喪。,不太好，我希望今天早點過去。,我很抱歉聽到這個。是不是有什麼特別的事情導致了這種感覺？,我明白了。你會說這是最近發生的還是遙遠的事件？,謝謝，我明白了。你會說這種負面情緒是由最近對協議6 的嘗試引發的嗎？,謝謝，我明白了。你會說這種負面情緒是由最近對協議11 的嘗試引發的嗎？,感謝您的耐心等待。我現在將問您幾個問題，以幫助您了解您的情況。,謝謝，感謝您的耐心等待。您是否會說您對某人有強烈的感受或表達過以下任何一種情緒：,,,,,,,我對客戶服務主管感到反感，因為她在我敘述我的問題時拒絕看清原因,我對我兒子很生氣，因為他今天沒有吃午飯,我對我的鄰居很生氣，因為他正在製造噪音,,,,,我很高興你能分享你的情緒。我想再問你幾個問題，以便更好地了解情況。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
女性,25-29,我有點沮喪,我真的很難過，因為我的狗跑了,男朋友跟我分手了，今天好難過,謝謝你。有沒有發生什麼讓你難過的事情？,謝謝，我明白了。你能告訴我這是最近發生的事情還是前一陣子發生的事情嗎？我希望你沒有因為這次事件而受到太多傷害。,如果你最近在研究協議6 並且它從過去的事件中帶回了一些不好的感覺，你能告訴我嗎？,你能告訴我你最近是否在嘗試協議11 並且它從最近的事件中帶回了一些不好的感覺嗎？,謝謝你告訴我。我現在會問你一些問題，以便更多地了解你的情況。,你能告訴我你最近是否有以下任何情緒，或者你是否向其他人展示過這些情緒：,,,,,,,我很生氣。我丟了錢,我很心煩,我覺得脾氣很暴躁,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
男性,25-29,我一直看中東的新聞報導讓我更加焦慮。,隨著學年即將結束，我有點堅定，我會想念我的學生。,我很難過，因為這是一個長周末，但我必須工作。,是不是發生了什麼事情導致了這種感覺？,你能告訴我這個或多個事件是最近發生的還是過去發生的？,你是否嘗試過協議6，如果是的話，回顧這個​​創傷性事件是否會重新打開導致情緒爆發的舊傷口？,你是否嘗試過協議11，如果是的話，回顧最近的事件是否會重新打開導致情緒爆發的傷口？,謝謝，我很感激。我將嘗試通過問你更多問題來深入了解這個問題。,你能想出一個你強烈感受到或向別人展示這些情緒的時候嗎：,,,,,,,我很生氣，因為我找不到借記卡。,我很不高興，因為我的手機摔壞了。,我有點生氣，因為詹姆斯沒有完成他的任務。,是特殊情況造成的嗎？,你認為這是由剛剛發生的事情還是你過去更遙遠的事情引起的？,您最近是否嘗試過協議6，如果是，您是否正在考慮過去的一些創傷性情況，這些情況可能會重新打開這些傷口並帶出這些情緒？,你最近有沒有嘗試過協議11，如果是的話，你有沒有想過你過去的一些創傷性情況可能會打開這些傷口並帶出這些情緒？,謝謝。我將通過問你一些問題來深入挖掘，以便我們解決這個問題。,您是否曾向其他人感受或表達過以下任何情緒：,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
女性,50-59,我因分手感到很沮喪。,我只是不想再繼續下去了，一切似乎都是那麼絕望。,我無法停止哭泣，因為我非常想念我的媽媽。,我很抱歉聽到這個。你能找出讓你有這種感覺的具體事件嗎？,你現在一定很痛。你能分享一下這個事件是最近發生的還是更久以前？,我想知道，最近嘗試協議6 是否會引發任何不好的感覺？如果發生這種情況，我希望你不會因為那次練習而受太多苦。,我想知道，最近嘗試協議6 是否會引發任何不好的感覺？如果發生這種情況，我希望你不會因為那次練習而受太多苦。,我感謝你的努力，儘管這對你來說一定很艱難。我現在有一些問題可以幫助您了解您的情況。,如果你沒問題，你能告訴我你是否對任何人有過以下強烈的感覺：,,,,,,,我很生氣我的同事因為我的工作而受到讚揚。,我的室友因為她的草率而讓我發瘋！,如果其他人試圖在交通中切斷我，我會爆炸！,謝謝你，我知道你現在很不高興，但如果你能告訴我更多，我將非常感激。是否有特定事件引起了您的憤怒？,觸發事件是最近的還是很久以前的？,我想知道，如果你有機會嘗試一下，你是否感受到了協議6 引發的憤怒？,我想知道，如果您有機會嘗試一下，您是否感受到了協議11 引發的憤怒？,我很感激你試圖發洩你的憤怒。讓我們試圖尋找一些問題的答案，以便我們更好地了解您的情況。,我知道你生氣了。你能告訴我，除了這種憤怒之外，你是否對任何人也有過以下強烈的情緒：,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
男性,40-49,我今天心情很不好。,我希望我感覺更快樂，但是這幾天過得很艱難。,最近幾天我的心情一直很低落。,你的情緒是由什麼特定的事情引起的嗎？,引起您悲傷的事件是最近發生的事件還是不久前發生的事情？,您是否能夠嘗試協議6，如果是，您是否覺得該協議帶來了您過去經歷過的同樣困難的情緒？,您是否能夠嘗試協議11，如果是，您是否覺得該協議帶來了與您在活動期間經歷的相同的困難情緒？,感謝您分享您的感受。我有幾個問題可以幫助我了解您的情況。,您是否發現自己對另一個人有以下任何一種情緒和/或表達：,,,,,,,不太好，我度過了非常沮喪的一天。,我現在很生氣。,一切似乎都不順利，我無法讓任何人聽我說話。,你能告訴我你的憤怒是否是由特定事件引起的嗎？,引起你憤怒的事件，你認為是最近發生的還是不久前發生的？,您最近是否能夠處理協議6，如果有，您是否注意到您有與這次活動中類似的負面情緒？,您最近是否能夠處理協議11，如果有，您是否注意到您有與這次活動中類似的負面情緒？,我很感激你與我分享這個。我想再問幾個問題，以幫助我了解您的情況。,您是否發現自己有任何這些情緒，或者您是否曾向另一個人表達過這些情緒：,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
女性,30-39,沒那麼好。我感到有點孤獨,不太好。我今天工作搞砸了。,我有點沮喪。我今天考試不及格。,我明白。是否發生了特定事件使這發生？,明白了，謝謝分享。這是最近發生的還是遙遠的事件？,,,我與您的情緒保持一致，我們將了解如何克服它。我想再問你一些問題，以更好地理解你為什麼會有這種感覺。,請問您最近是否有過或表現出以下情緒：,,,,,,,不是很好。我對我的一個同事很生氣。,我真的對我丈夫很生氣，他和我吵架了。,我覺得很爛，我和我朋友吵架了。,我明白了，謝謝你對我敞開心扉。是不是發生了什麼事情導致了這個？,我能理解。最近或遙遠的事件是否導致了這種情況？,,,我很遺憾聽到你正在經歷這一切。現在我會問你一些更多的問題來了解發生了什麼，感謝你的配合。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
男性,25-29,我最近情緒低落，無法擺脫這種恐懼。,我感到沮喪，不像我自己。,我感覺有點慘，心情可以更好。,我很抱歉聽到這個。會不會是因為某個事件？如果是這樣，我希望這對你來說不是太難。,請問這種感覺是最近還是過去的事情引起的？,你有沒有嘗試過協議6，如果是這樣，這是否會引發過去的負面情緒？,你有沒有嘗試過協議11，如果是這樣，這是否會引發最近的負面情緒？,感謝分享。如果你沒問題，我還有一些問題。,如果可以的話，在有人陪伴時，您是否有過以下強烈感受或情緒：,,,,,,,我被推到了惡化的地步，失去了冷靜。,老實說，我感到很生氣，就像我會傷害某人一樣。,我的情緒在沸騰，我快要爆炸了。,你覺得這可能是單一事件的結果嗎？,這種憤怒是否有可能是最近的原因，還是由於遙遠的過去發生的事情？,你有沒有嘗試過協議6，這是否有可能從過去的事情中引起一些緊張的情緒？,你有沒有嘗試過協議11，這是否有可能從過去的事情中引起一些緊張的情緒？,我很感激你與我分享。我還有幾個問題。,我現在要列出一些情緒。你能告訴我你是否對某人有過以下情緒：,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
